0.0	609.781799	455.547699	352.624603	904.039795	370.032196	352.97522	670.798889	665.976624	352.537994
5.05	609.206604	457.580383	352.633667	904.200317	374.434204	352.946014	668.514404	668.481018	352.551239
5.12	608.617676	459.805298	352.596649	904.246277	379.146362	352.911926	666.113403	671.222168	352.501831
5.17	608.021729	461.866608	352.578583	904.268616	383.435608	352.828674	663.936584	673.69281	352.419647
5.22	607.345459	464.216858	352.558105	904.208069	388.353333	352.794983	661.404419	676.519714	352.403809
5.26	606.664551	466.256073	352.569153	904.212463	392.901337	352.781647	658.955933	679.046936	352.435608
5.3	605.931763	468.481781	352.597015	904.107483	397.709808	352.803802	656.347351	681.70575	352.478455
5.34	605.132813	470.796478	352.598389	903.958252	402.810852	352.853516	653.604736	684.502197	352.479645
5.38	604.28479	473.272461	352.588959	903.757385	408.158813	352.853699	650.692322	687.39856	352.491669
5.41	603.597778	475.230865	352.570526	903.583435	412.391998	352.85141	648.377991	689.734497	352.470947
5.44	602.878113	477.318878	352.536804	903.328979	416.906921	352.831696	645.899841	692.160645	352.439209
5.47	602.084167	479.472382	352.536469	903.031189	421.569855	352.874146	643.332397	694.669678	352.400024
5.5	601.268616	481.671051	352.538361	902.702698	426.405029	352.814209	640.611511	697.229187	352.389954
5.53	600.462097	483.925873	352.516205	902.369019	431.411652	352.745087	637.846924	699.838684	352.33609
5.56	599.534912	486.359711	352.467499	901.954651	436.670624	352.655121	634.885437	702.602295	352.287933
5.59	598.55896	488.775818	352.448212	901.398682	442.071106	352.639496	631.783997	705.358154	352.291199
5.62	597.518372	491.16156	352.468018	900.844482	447.519806	352.596985	628.543396	708.086121	352.336334
5.65	596.460144	493.543762	352.460876	900.198242	453.040588	352.559967	625.227051	710.761108	352.467468
5.68	595.316467	496.060364	352.431702	899.452576	458.728302	352.546936	621.866028	713.561218	352.465881
5.71	594.138062	498.634521	352.457092	898.636353	464.504761	352.570831	618.386719	716.417114	352.470612
5.74	592.884216	501.237732	352.455475	897.75354	470.280945	352.597443	614.818665	719.249634	352.480743
5.77	591.61676	503.812592	352.410828	896.765503	476.19812	352.562164	611.219971	722.050232	352.486145
5.8	590.306763	506.404114	352.385742	895.801636	482.224701	352.589874	607.511047	724.85553	352.463043
5.82	589.382629	508.230927	352.394836	895.019836	486.297974	352.634888	604.957336	726.835632	352.411774
5.84	588.385376	510.065216	352.406799	894.206421	490.291412	352.696472	602.414368	728.735352	352.385956
5.86	587.443176	511.872589	352.408875	893.383179	494.346954	352.706268	599.837402	730.634766	352.352875
5.88	586.505737	513.65155	352.375519	892.555969	498.448914	352.675537	597.288391	732.53064	352.35556
5.9	585.534119	515.425903	352.376251	891.722229	502.566345	352.668121	594.62262	734.38269	352.361389
5.92	584.580017	517.197327	352.369629	890.818726	506.707977	352.649811	591.943237	736.233887	352.38501
5.94	583.580566	518.975342	352.390259	889.893921	510.811737	352.635284	589.260254	738.050903	352.412231
5.96	582.537354	520.741394	352.394104	888.940063	514.94342	352.643066	586.570679	739.815613	352.455841
5.98	581.506104	522.466553	352.394684	887.900635	519.087402	352.644226	583.847717	741.617126	352.488647
6.0	580.411987	524.262329	352.401794	886.885315	523.155151	352.671509	581.078613	743.390015	352.487915
6.02	579.335449	525.99585	352.409515	885.780518	527.267334	352.708984	578.310242	745.148621	352.497375
6.04	578.251099	527.753418	352.408234	884.634155	531.365417	352.721436	575.542542	746.847168	352.504608
6.06	577.086548	529.53125	352.418121	883.440308	535.495911	352.748749	572.741089	748.609863	352.495422
6.08	575.966248	531.261047	352.408325	882.263611	539.571838	352.762054	569.918823	750.294922	352.503296
6.1	574.832275	532.999695	352.411041	881.068054	543.672607	352.74057	567.09729	752.00946	352.50119
6.12	573.697327	534.745056	352.409271	879.855469	547.822021	352.744354	564.231934	753.694519	352.472717
6.14	572.512024	536.523621	352.388672	878.564331	551.993469	352.756866	561.34967	755.378784	352.464966
6.16	571.341797	538.282776	352.374542	877.249512	556.108215	352.728943	558.436157	757.004089	352.43399
6.18	570.147644	539.987305	352.379242	875.868958	560.259888	352.729034	555.544373	758.638245	352.41864
6.2	568.929016	541.742981	352.351715	874.480286	564.403198	352.697449	552.61615	760.26062	352.407837
6.22	567.702454	543.486511	352.326904	873.053284	568.663513	352.655884	549.591248	761.920898	352.358063
6.24	566.369263	545.381409	352.340698	871.54541	573.005432	352.633514	546.518188	763.602478	352.282715
6.26	565.053345	547.210144	352.301208	869.970825	577.366089	352.542999	543.414307	765.31134	352.243439
6.28	563.700378	549.015137	352.268829	868.339417	581.690002	352.496124	540.232727	766.892517	352.229279
6.3	562.336548	550.736694	352.28537	866.729736	586.010803	352.519623	537.021118	768.422852	352.286713
6.32	560.949524	552.459106	352.296692	865.029968	590.232544	352.560608	533.852905	769.893921	352.329712
6.34	559.531067	554.20105	352.325378	863.282288	594.455139	352.589569	530.661194	771.420715	352.29483
6.36	558.139648	555.920471	352.305023	861.578979	598.596191	352.580322	527.510376	772.903442	352.258453
6.38	556.757568	557.612061	352.266296	859.804871	602.82428	352.504517	524.331116	774.331604	352.275177
6.4	555.365295	559.30658	352.230469	858.013855	607.101135	352.457825	521.108948	775.745422	352.270721
6.42	553.937744	561.071167	352.209869	856.194214	611.402039	352.363647	517.838013	777.18811	352.243805
6.44	552.39917	562.829102	352.197205	854.220825	615.777832	352.370667	514.490906	778.659851	352.206024
6.46	550.825317	564.540771	352.242584	852.214233	619.994141	352.462463	511.117371	780.039795	352.22171
6.48	549.278259	566.212891	352.291656	850.156738	624.156433	352.52298	507.768158	781.372681	352.246796
